price_in_rp,city,property_condition,land_size_m2,building_size_m2,electricity_mah,electricity,bedrooms,bathrooms,furnishing,facilities,swimming_pool,park,jogging_track
1290000000,Bekasi,bagus sekali,94,160,3500 mah,"3,500",3,2,unfurnished,"Ac, Masjid, Keamanan, Taman",No Swimming Pool,Park,No Jogging Track
690000000,Bogor,butuh renovasi,140,100,1300 mah,"1,300",4,3,unfurnished,"Masjid, Keamanan",No Swimming Pool,No Park,No Jogging Track
995000000,Bogor,bagus,129,100,2200 mah,"2,200",3,2,unfurnished,"Taman, Keamanan",No Swimming Pool,Park,No Jogging Track
4500000000,Bogor,bagus,264,400,4400 mah,"4,400",8,3,furnished,"Kolam Renang, Taman, Taman, Keamanan 24 jam, Jalur Telepon, Masjid, Jalur Telepon, Ac, AC, Keamanan",Swimming Pool,Park,No Jogging Track
11500000000,Bogor,bagus,923,401,6600 mah,"6,600",4,5,semi furnished,"Keamanan 24 jam, Taman, Masjid, Jalur Telepon, Kitchen Set, Masjid, Jalur Telepon, Keamanan, AC, AC, Playground, Wastafel, One Gate System, Track Lari, Tempat Jemuran, Jogging Track, Lapangan Basket",No Swimming Pool,Park,Jogging Track
22500000000,Bogor,bagus sekali,1064,800,6600 mah,"6,600",5,4,unfurnished,"Kolam Renang, Taman, CCTV, Masjid, Jalur Telepon, Jogging Track, Ac, Keamanan",Swimming Pool,Park,Jogging Track
945000000,Bogor,baru,90,70,2200 mah,"2,200",3,1,unfurnished,"Taman, Keamanan 24 jam, Taman, Masjid, Akses Parkir, Playground, One Gate System, Track Lari, Tempat Jemuran, Tempat Laundry",No Swimming Pool,Park,Jogging Track
1440000000,Bogor,bagus,90,110,2200 mah,"2,200",3,2,unfurnished,"Taman, Keamanan",No Swimming Pool,Park,No Jogging Track
550000000,Bogor,bagus,90,80,1300 mah,"1,300",2,1,unfurnished,"Taman, Masjid, Jalur Telepon, Keamanan, Track Lari, Jogging Track",No Swimming Pool,Park,Jogging Track
9500000000,Bogor,baru,1400,300,3500 mah,"3,500",4,3,furnished,"Taman, Taman, Kitchen Set, Masjid, Jalur Telepon, Kulkas, AC, Wastafel, Keamanan, Ac, Track Lari, Tempat Jemuran, Jogging Track",No Swimming Pool,Park,Jogging Track
5500000000,Bogor,baru,420,400,6600 mah,"6,600",5,5,unfurnished,"Jalur Telepon, Track Lari, Lapangan Bulu Tangkis, Keamanan, Lapangan Tenis, Tempat Laundry, Lapangan Basket, CCTV, Masjid, One Gate System, Playground, Lapangan Bola, Jogging Track, Taman, Keamanan 24 jam, Taman, Kolam Renang, Lapangan Voli, Akses Parkir, Tempat Gym",Swimming Pool,Park,Jogging Track
16500000000,Bogor,bagus,2916,500,3500 mah,"3,500",2,6,unfurnished,"Jogging Track, Taman, Jalur Telepon, Keamanan",No Swimming Pool,Park,Jogging Track
1000000000,Bogor,bagus,90,150,3500 mah,"3,500",3,2,unfurnished,"Taman, Masjid, Jogging Track, Keamanan",No Swimming Pool,Park,Jogging Track
1440000000,Bogor,bagus,90,110,2200 mah,"2,200",3,2,unfurnished,"Taman, Keamanan",No Swimming Pool,Park,No Jogging Track
3000000000,Bogor,bagus,162,196,3500 mah,"3,500",4,2,unfurnished,Taman,No Swimming Pool,Park,No Jogging Track
1380000000,Bogor,bagus,105,150,2200 mah,"2,200",3,2,unfurnished,"Taman, Keamanan",No Swimming Pool,Park,No Jogging Track
16500000000,Bogor,bagus,2916,500,3500 mah,"3,500",3,2,unfurnished,"Taman, Keamanan 24 jam, Taman, Jalur Telepon, Jalur Telepon, Jogging Track, AC, Ac, One Gate System, Track Lari, Keamanan",No Swimming Pool,Park,Jogging Track
945000000,Bogor,bagus,70,90,1300 mah,"1,300",3,1,unfurnished,"Keamanan 24 jam, Taman, Masjid, Keamanan",No Swimming Pool,Park,No Jogging Track
1440000000,Bogor,bagus,90,110,2200 mah,"2,200",3,2,unfurnished,"Taman, Keamanan",No Swimming Pool,Park,No Jogging Track
1380000000,Bogor,bagus,105,150,2200 mah,"2,200",3,2,unfurnished,"Taman, Keamanan",No Swimming Pool,Park,No Jogging Track
2000000000,Bogor,bagus,144,200,3500 mah,"3,500",5,6,semi furnished,"Taman, Keamanan 24 jam, Taman, Kitchen Set, Masjid, AC, Playground, Wastafel, One Gate System, Track Lari, Tempat Jemuran, Tempat Laundry",No Swimming Pool,Park,Jogging Track
5500000000,Bogor,baru,300,520,6600 mah,"6,600",4,4,unfurnished,"Keamanan 24 jam, Taman, Jalur Telepon, Kitchen Set, Masjid, AC, Akses Parkir, Playground, Wastafel, One Gate System, Track Lari, Tempat Jemuran, Lapangan Basket",No Swimming Pool,Park,Jogging Track
5750000000,Bogor,bagus sekali,517,305,5500 mah,"5,500",4,3,semi furnished,"Taman, Jalur Telepon, Kolam Renang, Keamanan, Jogging Track",Swimming Pool,Park,Jogging Track
5900000000,Bogor,bagus sekali,312,250,5500 mah,"5,500",4,3,furnished,"Kolam Renang, Taman, Masjid, CCTV, Jalur Telepon, Jogging Track, Ac, Keamanan",Swimming Pool,Park,Jogging Track
6200000000,Bogor,sudah renovasi,514,340,4400 mah,"4,400",3,3,furnished,"Kolam Renang, Taman, Masjid, Jalur Telepon, CCTV, Ac, Keamanan, Jogging Track",Swimming Pool,Park,Jogging Track
1800000000,Bogor,bagus,224,90,2200 mah,"2,200",2,1,unfurnished,"Kolam Renang, Taman, Taman, Masjid, Jalur Telepon, Jogging Track, Keamanan, Track Lari",Swimming Pool,Park,Jogging Track
650000000,Bogor,sudah renovasi,90,100,2200 mah,"2,200",2,2,semi furnished,"Taman, Taman, Masjid, Jalur Telepon, Jalur Telepon, Jogging Track, Track Lari, Keamanan",No Swimming Pool,Park,Jogging Track
1900000000,Bogor,bagus sekali,216,120,3500 mah,"3,500",2,3,unfurnished,"Kolam Renang, Taman, Taman, Masjid, Jalur Telepon, Jalur Telepon, Keamanan, Kolam Renang, AC, Ac, Track Lari, Jogging Track",Swimming Pool,Park,Jogging Track
5100000000,Bogor,bagus sekali,481,242,3500 mah,"3,500",4,3,semi furnished,"Taman, Masjid, CCTV, Jalur Telepon, Kolam Renang, Ac, Jogging Track",Swimming Pool,Park,Jogging Track
900000000,Bogor,bagus sekali,90,90,3500 mah,"3,500",2,1,semi furnished,"Taman, Masjid, Jalur Telepon, Keamanan, Jogging Track",No Swimming Pool,Park,Jogging Track
850000000,Bogor,bagus sekali,139,130,2200 mah,"2,200",3,2,unfurnished,"Taman, Masjid, Jalur Telepon, Jogging Track, Keamanan",No Swimming Pool,Park,Jogging Track
650000000,Bogor,sudah renovasi,90,100,2200 mah,"2,200",2,2,semi furnished,"Taman, Masjid, Jalur Telepon, Keamanan, Jogging Track",No Swimming Pool,Park,Jogging Track
1300000000,Bogor,bagus,150,62,2200 mah,"2,200",2,1,unfurnished,"Taman, Keamanan 24 jam, CCTV, One Gate System, Tempat Jemuran",No Swimming Pool,Park,No Jogging Track
2150000000,Bogor,sudah renovasi,216,110,3300 mah,"3,300",2,4,unfurnished,"Taman, Kolam Renang, Keamanan 24 jam, Taman, Lapangan Basket, Track Lari, Lapangan Voli, Masjid, Lapangan Bulu Tangkis, Kolam Renang, Playground, Tempat Gym, One Gate System, Lapangan Bola, Lapangan Tenis",Swimming Pool,Park,Jogging Track
3500000000,Bogor,bagus,323,500,4400 mah,"4,400",4,4,semi furnished,"Taman, AC, Keamanan",No Swimming Pool,Park,No Jogging Track
1300000000,Bogor,bagus,117,160,3500 mah,"3,500",5,3,semi furnished,"Taman, Masjid, Jalur Telepon, Kolam Renang, Keamanan, Ac, Jogging Track",Swimming Pool,Park,Jogging Track
1250000000,Bogor,bagus,144,105,2200 mah,"2,200",3,2,unfurnished,"Kolam Renang, Taman, Masjid, Jalur Telepon, Keamanan, Jogging Track",Swimming Pool,Park,Jogging Track
700000000,Bogor,baru,137,40,1300 mah,"1,300",2,1,unfurnished,"Taman, Jogging Track, Masjid, Keamanan",No Swimming Pool,Park,Jogging Track
4500000000,Bogor,baru,358,250,3500 mah,"3,500",3,2,unfurnished,"Taman, Track Lari, Wastafel, Keamanan 24 jam",No Swimming Pool,Park,Jogging Track
8500000000,Bogor,bagus,350,620,6600 mah,"6,600",8,6,unfurnished,"Keamanan 24 jam, Taman, Jalur Telepon, Kitchen Set, Masjid, AC, Akses Parkir, Playground, Wastafel, One Gate System, Track Lari, Tempat Jemuran, Lapangan Basket",No Swimming Pool,Park,Jogging Track
1900000000,Bogor,baru,126,102,2200 mah,"2,200",3,2,unfurnished,"Jogging Track, Taman, Ac, Keamanan",No Swimming Pool,Park,Jogging Track
3900000000,Bogor,bagus,329,275,3500 mah,"3,500",3,4,furnished,"Keamanan 24 jam, Taman",No Swimming Pool,Park,No Jogging Track
4500000000,Bogor,sudah renovasi,663,300,2200 mah,"2,200",4,3,semi furnished,"Kolam Renang, Taman, Masjid, Jalur Telepon, AC, Jogging Track, Keamanan",Swimming Pool,Park,Jogging Track
11500000000,Bogor,baru,518,515,5500 mah,"5,500",4,5,unfurnished,"Kolam Renang, Taman, Keamanan 24 jam, Kolam Renang, Keamanan",Swimming Pool,Park,No Jogging Track
18000000000,Bogor,baru,450,800,6600 mah,"6,600",6,5,furnished,"Kolam Renang, Pemanas Air, Taman, Kitchen Set, Masjid, Jalur Telepon, Mesin Cuci, Track Lari, Kulkas, AC, Wastafel, Keamanan, Ac, CCTV, Tempat Jemuran, Jogging Track",Swimming Pool,Park,Jogging Track
1350000000,Bogor,baru,94,96,2200 mah,"2,200",3,2,semi furnished,"Taman, Masjid, Kitchen Set, AC, AC, Keamanan, Track Lari, Wastafel, Jogging Track",No Swimming Pool,Park,Jogging Track
2500000000,Bogor,bagus,180,300,5500 mah,"5,500",4,4,semi furnished,"Taman, Keamanan 24 jam, Akses Parkir, Taman, CCTV, Kitchen Set, AC, Playground, Wastafel, Tempat Jemuran, One Gate System, Kolam Ikan",Swimming Pool,Park,No Jogging Track
30000000000,Bogor,bagus,2786,1500,5500 mah,"5,500",5,5,unfurnished,"Keamanan 24 jam, Taman, Jalur Telepon, CCTV, Playground, One Gate System, Track Lari",No Swimming Pool,Park,Jogging Track
4500000000,Bogor,butuh renovasi,575,200,2200 mah,"2,200",3,2,unfurnished,"Taman, Keamanan 24 jam, Akses Parkir, Taman, CCTV, One Gate System, Track Lari, Tempat Jemuran",No Swimming Pool,Park,Jogging Track
7000000000,Bogor,baru,360,400,5500 mah,"5,500",4,4,unfurnished,"Taman, Keamanan 24 jam, Akses Parkir, Taman, CCTV, Wastafel, One Gate System, Track Lari, Tempat Jemuran",No Swimming Pool,Park,Jogging Track
1300000000,Bogor,bagus,150,62,2200 mah,"2,200",2,1,unfurnished,"Taman, Keamanan 24 jam, Akses Parkir, Taman, CCTV, Wastafel, One Gate System, Track Lari, Tempat Jemuran",No Swimming Pool,Park,Jogging Track
945000000,Bogor,baru,90,70,1300 mah,"1,300",3,1,unfurnished,"Taman, Keamanan 24 jam, Taman, CCTV, Masjid, Akses Parkir, Playground, One Gate System, Track Lari, Tempat Jemuran, Tempat Laundry",No Swimming Pool,Park,Jogging Track
1000000000,Bogor,bagus,150,63,1300 mah,"1,300",2,1,semi furnished,"Taman, Keamanan 24 jam, Akses Parkir, Taman, CCTV, Kitchen Set, AC, Wastafel, One Gate System, Track Lari, Tempat Jemuran",No Swimming Pool,Park,Jogging Track
1250000000,Bogor,baru,84,89,2200 mah,"2,200",3,2,unfurnished,"Taman, Keamanan 24 jam, Akses Parkir, Taman, CCTV, Wastafel, One Gate System, Track Lari, Tempat Jemuran",No Swimming Pool,Park,Jogging Track
1650000000,Bogor,baru,84,89,2200 mah,"2,200",3,2,unfurnished,"Taman, Keamanan 24 jam, Akses Parkir, Taman, CCTV, Wastafel, One Gate System, Track Lari, Tempat Jemuran",No Swimming Pool,Park,Jogging Track
1150000000,Bogor,sudah renovasi,90,150,5500 mah,"5,500",3,2,semi furnished,"Taman, Keamanan 24 jam, Taman, CCTV, Masjid, Kitchen Set, AC, Akses Parkir, Playground, Wastafel, One Gate System, Track Lari, Tempat Jemuran, Tempat Laundry",No Swimming Pool,Park,Jogging Track
6500000000,Bogor,baru,313,360,5500 mah,"5,500",4,5,unfurnished,"Taman, Keamanan 24 jam, Akses Parkir, Taman, CCTV, Wastafel, One Gate System, Tempat Jemuran",No Swimming Pool,Park,No Jogging Track
30000000000,Bogor,bagus,2786,1500,5500 mah,"5,500",5,5,unfurnished,"Keamanan 24 jam, Taman, Jalur Telepon, CCTV, Playground, One Gate System, Track Lari",No Swimming Pool,Park,Jogging Track
2300000000,Bogor,butuh renovasi,299,125,2200 mah,"2,200",3,2,unfurnished,"Taman, Jalur Telepon, Jalur Telepon, Keamanan, AC, Ac, Track Lari, Jogging Track",No Swimming Pool,Park,Jogging Track
2300000000,Bogor,butuh renovasi,299,125,2200 mah,"2,200",3,2,unfurnished,"Taman, Jalur Telepon, Jalur Telepon, Keamanan, AC, Ac, Track Lari, Jogging Track",No Swimming Pool,Park,Jogging Track
2750000000,Bogor,butuh renovasi,220,221,2200 mah,"2,200",4,3,unfurnished,"Taman, Taman, Jalur Telepon, AC, Jogging Track, AC, Keamanan, Track Lari",No Swimming Pool,Park,Jogging Track
2400000000,Bogor,butuh renovasi,183,145,3300 mah,"3,300",3,3,unfurnished,"Taman, Taman, Masjid, Jalur Telepon, Jalur Telepon, AC, Jogging Track, Kolam Renang, AC, Keamanan, Track Lari",Swimming Pool,Park,Jogging Track
1200000000,Bogor,bagus,120,240,1300 mah,"1,300",4,4,unfurnished,"Taman, Wastafel, Jalur Telepon, Tempat Jemuran",No Swimming Pool,Park,No Jogging Track
945000000,Bogor,baru,90,70,1300 mah,"1,300",3,1,unfurnished,"Taman, Keamanan 24 jam, Taman, Masjid, Playground, One Gate System, Tempat Jemuran",No Swimming Pool,Park,No Jogging Track
1650000000,Bogor,bagus,84,89,2200 mah,"2,200",3,2,unfurnished,"Taman, One Gate System, Tempat Jemuran, Keamanan 24 jam",No Swimming Pool,Park,No Jogging Track
1250000000,Bogor,bagus,84,89,2200 mah,"2,200",3,2,unfurnished,"Taman, One Gate System, Tempat Jemuran, Keamanan 24 jam",No Swimming Pool,Park,No Jogging Track
1150000000,Bogor,bagus,90,150,5500 mah,"5,500",3,2,unfurnished,"Taman, Keamanan 24 jam, Taman, Kitchen Set, Masjid, Playground, AC, One Gate System, Tempat Jemuran",No Swimming Pool,Park,No Jogging Track
1300000000,Bogor,bagus,150,62,2200 mah,"2,200",2,1,unfurnished,"Taman, Keamanan 24 jam, One Gate System, Playground, Tempat Jemuran, Lapangan Basket",No Swimming Pool,Park,No Jogging Track
1250000000,Bogor,bagus,144,88,2200 mah,"2,200",3,2,unfurnished,"Taman, One Gate System, Tempat Jemuran, Keamanan 24 jam",No Swimming Pool,Park,No Jogging Track
11000000000,Bogor,baru,543,495,5500 mah,"5,500",4,4,unfurnished,"Keamanan 24 jam, Taman, Akses Parkir, CCTV, Kolam Renang, Wastafel, One Gate System, Track Lari, Tempat Jemuran",Swimming Pool,Park,Jogging Track
5000000000,Bogor,bagus,396,299,4400 mah,"4,400",4,3,unfurnished,"Taman, Keamanan 24 jam, Akses Parkir, Taman, CCTV, Wastafel, One Gate System, Track Lari, Tempat Jemuran",No Swimming Pool,Park,Jogging Track
5000000000,Bogor,bagus,396,299,4400 mah,"4,400",4,3,unfurnished,"Taman, Keamanan 24 jam, Akses Parkir, Taman, CCTV, Wastafel, One Gate System, Track Lari, Tempat Jemuran",No Swimming Pool,Park,Jogging Track
3500000000,Bogor,bagus,321,500,4400 mah,"4,400",4,4,semi furnished,"Taman, Keamanan 24 jam, Akses Parkir, Taman, CCTV, Kitchen Set, AC, Wastafel, One Gate System, Track Lari, Tempat Jemuran",No Swimming Pool,Park,Jogging Track
6500000000,Bogor,baru,313,360,5500 mah,"5,500",4,5,unfurnished,"Taman, Keamanan 24 jam, Akses Parkir, Taman, CCTV, One Gate System, Track Lari, Tempat Jemuran",No Swimming Pool,Park,Jogging Track
4500000000,Bogor,butuh renovasi,575,200,2200 mah,"2,200",3,2,unfurnished,"Taman, Keamanan 24 jam, Akses Parkir, Taman, CCTV, One Gate System, Track Lari, Tempat Jemuran",No Swimming Pool,Park,Jogging Track
7000000000,Bogor,baru,340,400,5500 mah,"5,500",4,4,unfurnished,"Taman, Keamanan 24 jam, Akses Parkir, Taman, CCTV, Wastafel, One Gate System, Track Lari, Tempat Jemuran",No Swimming Pool,Park,Jogging Track
1000000000,Bogor,bagus,150,63,1300 mah,"1,300",2,1,semi furnished,"Taman, Keamanan 24 jam, Akses Parkir, Taman, CCTV, Kitchen Set, AC, Wastafel, One Gate System, Track Lari, Tempat Jemuran",No Swimming Pool,Park,Jogging Track
11500000000,Bogor,baru,518,515,5500 mah,"5,500",4,5,unfurnished,"Keamanan 24 jam, Taman, Akses Parkir, CCTV, Kolam Renang, Wastafel, One Gate System, Track Lari, Tempat Jemuran",Swimming Pool,Park,Jogging Track
8500000000,Bogor,bagus,483,500,7700 mah,"7,700",5,6,semi furnished,"Keamanan 24 jam, Taman, Taman, Kitchen Set, Kolam Renang, Wastafel, One Gate System, Tempat Jemuran",Swimming Pool,Park,No Jogging Track
2500000000,Bogor,bagus,180,300,5500 mah,"5,500",4,4,semi furnished,"Taman, Keamanan 24 jam, Akses Parkir, Taman, CCTV, Kitchen Set, AC, Wastafel, Tempat Jemuran, One Gate System, Kolam Ikan",Swimming Pool,Park,No Jogging Track
750000000,Bogor,bagus,105,60,1300 mah,"1,300",2,2,unfurnished,"Taman, Keamanan 24 jam, Akses Parkir, Taman, Playground, One Gate System, Wastafel",No Swimming Pool,Park,No Jogging Track
5000000000,Bogor,baru,396,299,4400 mah,"4,400",4,3,unfurnished,"Taman, Keamanan 24 jam, Akses Parkir, Taman, Playground, One Gate System, Wastafel",No Swimming Pool,Park,No Jogging Track
1250000000,Bogor,baru,84,89,2200 mah,"2,200",3,2,unfurnished,"Taman, Keamanan 24 jam, Akses Parkir, Taman, CCTV, Wastafel, One Gate System, Track Lari, Tempat Jemuran",No Swimming Pool,Park,Jogging Track
3500000000,Bogor,bagus,321,500,4400 mah,"4,400",4,4,semi furnished,"Taman, Keamanan 24 jam, Akses Parkir, Taman, CCTV, Kitchen Set, AC, Wastafel, One Gate System, Track Lari, Tempat Jemuran",No Swimming Pool,Park,Jogging Track
1650000000,Bogor,baru,84,89,2200 mah,"2,200",3,2,unfurnished,"Taman, Keamanan 24 jam, Akses Parkir, Taman, CCTV, Wastafel, One Gate System, Track Lari, Tempat Jemuran",No Swimming Pool,Park,Jogging Track
1150000000,Bogor,sudah renovasi,90,150,5500 mah,"5,500",3,2,semi furnished,"Taman, Keamanan 24 jam, Taman, CCTV, Masjid, Kitchen Set, AC, Akses Parkir, Playground, Wastafel, One Gate System, Track Lari, Tempat Jemuran, Tempat Laundry",No Swimming Pool,Park,Jogging Track
945000000,Bogor,baru,90,70,1300 mah,"1,300",3,1,unfurnished,"Taman, Keamanan 24 jam, Taman, CCTV, Masjid, Akses Parkir, Playground, One Gate System, Track Lari, Tempat Jemuran, Tempat Laundry",No Swimming Pool,Park,Jogging Track
945000000,Bogor,baru,90,70,1300 mah,"1,300",3,1,unfurnished,"Taman, Tempat Jemuran, Keamanan 24 jam, One Gate System",No Swimming Pool,Park,No Jogging Track
1650000000,Bogor,baru,84,89,1300 mah,"1,300",3,2,unfurnished,"Taman, Keamanan 24 jam, Wastafel, One Gate System, Tempat Jemuran",No Swimming Pool,Park,No Jogging Track
11500000000,Bogor,baru,518,515,5500 mah,"5,500",4,5,unfurnished,"Kolam Renang, Keamanan 24 jam, Taman, Taman, Jalur Telepon, AC, Wastafel, One Gate System, Track Lari, Tempat Jemuran",Swimming Pool,Park,Jogging Track
6500000000,Bogor,baru,313,360,5500 mah,"5,500",4,5,unfurnished,"Kolam Renang, Keamanan 24 jam, Taman, Jalur Telepon, Masjid, Playground, Wastafel, One Gate System, Tempat Jemuran",Swimming Pool,Park,No Jogging Track
7000000000,Bogor,baru,340,400,5500 mah,"5,500",4,4,unfurnished,"Kolam Renang, Keamanan 24 jam, Taman, Jalur Telepon, Masjid, Playground, Wastafel, One Gate System, Track Lari, Tempat Jemuran",Swimming Pool,Park,Jogging Track
4500000000,Bogor,bagus,575,200,2200 mah,"2,200",3,2,unfurnished,"Taman, Keamanan 24 jam, Wastafel, One Gate System, Tempat Jemuran",No Swimming Pool,Park,No Jogging Track
1150000000,Bogor,bagus,90,150,5500 mah,"5,500",3,2,semi furnished,"Taman, Keamanan 24 jam, Kitchen Set, AC, Wastafel, One Gate System, Tempat Jemuran",No Swimming Pool,Park,No Jogging Track
1250000000,Bogor,baru,84,89,2200 mah,"2,200",3,2,unfurnished,"Taman, Tempat Jemuran, Keamanan 24 jam, One Gate System",No Swimming Pool,Park,No Jogging Track
3500000000,Bogor,bagus,321,500,4400 mah,"4,400",4,4,semi furnished,"Taman, Keamanan 24 jam, Kitchen Set, AC, Wastafel, One Gate System, Tempat Jemuran",No Swimming Pool,Park,No Jogging Track
1000000000,Bogor,bagus,150,63,1300 mah,"1,300",2,1,semi furnished,"Taman, Keamanan 24 jam, Kitchen Set, AC, Wastafel, One Gate System, Tempat Jemuran",No Swimming Pool,Park,No Jogging Track
3500000000,Bogor,bagus,321,500,4400 mah,"4,400",4,4,semi furnished,"Taman, Keamanan 24 jam, One Gate System, Kitchen Set, AC, Wastafel, Tempat Jemuran",No Swimming Pool,Park,No Jogging Track
5000000000,Bogor,bagus,396,299,4400 mah,"4,400",4,3,unfurnished,"Taman, One Gate System, Tempat Jemuran, Keamanan 24 jam",No Swimming Pool,Park,No Jogging Track
6000000000,Bogor,butuh renovasi,526,400,3300 mah,"3,300",4,4,unfurnished,"Taman, One Gate System, Tempat Jemuran, Keamanan 24 jam",No Swimming Pool,Park,No Jogging Track
2300000000,Bogor,bagus,299,125,2200 mah,"2,200",3,2,unfurnished,"Taman, Keamanan 24 jam, Playground, One Gate System, Tempat Jemuran",No Swimming Pool,Park,No Jogging Track
11000000000,Bogor,baru,543,495,5500 mah,"5,500",4,4,unfurnished,"Kolam Renang, Keamanan 24 jam, Taman, Taman, Jalur Telepon, Wastafel, One Gate System, Tempat Jemuran",Swimming Pool,Park,No Jogging Track
6000000000,Bogor,bagus,526,400,3500 mah,"3,500",4,4,unfurnished,"Taman, Keamanan 24 jam, Wastafel, One Gate System, Tempat Jemuran",No Swimming Pool,Park,No Jogging Track
9500000000,Bogor,bagus,108,62,1300 mah,"1,300",2,1,unfurnished,"Taman, Keamanan 24 jam, Playground, Wastafel, One Gate System, Tempat Jemuran",No Swimming Pool,Park,No Jogging Track
5000000000,Bogor,bagus,396,299,4400 mah,"4,400",4,3,unfurnished,"Taman, Keamanan 24 jam, Wastafel, One Gate System, Tempat Jemuran",No Swimming Pool,Park,No Jogging Track
1250000000,Bogor,baru,144,88,1300 mah,"1,300",3,3,unfurnished,"Taman, Keamanan 24 jam, Wastafel, One Gate System, Tempat Jemuran",No Swimming Pool,Park,No Jogging Track
2300000000,Bogor,bagus,299,125,2200 mah,"2,200",3,2,unfurnished,"Taman, Keamanan 24 jam, Wastafel, One Gate System, Tempat Jemuran",No Swimming Pool,Park,No Jogging Track
550000000,Bogor,bagus,84,60,2200 mah,"2,200",2,2,semi furnished,"Taman, Keamanan 24 jam, Kitchen Set, Wastafel, One Gate System, Tempat Jemuran",No Swimming Pool,Park,No Jogging Track
3900000000,Bogor,bagus,329,299,3500 mah,"3,500",3,4,furnished,"Taman, Keamanan 24 jam, Pemanas Air, Mesin Cuci, Kulkas, AC, Wastafel, One Gate System, Tempat Jemuran, Kitchen Set",No Swimming Pool,Park,No Jogging Track
5500000000,Bogor,bagus,498,400,3500 mah,"3,500",4,4,unfurnished,"Taman, Keamanan 24 jam, Wastafel, One Gate System, Tempat Jemuran",No Swimming Pool,Park,No Jogging Track
5000000000,Bogor,baru,330,362,4400 mah,"4,400",3,3,unfurnished,"Taman, Keamanan 24 jam, Wastafel, One Gate System, Tempat Jemuran",No Swimming Pool,Park,No Jogging Track
1500000000,Bogor,bagus,141,141,2200 mah,"2,200",5,3,semi furnished,"Taman, Keamanan 24 jam, Kitchen Set, AC, Wastafel, One Gate System, Tempat Jemuran",No Swimming Pool,Park,No Jogging Track
7000000000,Bogor,bagus,375,450,4400 mah,"4,400",4,3,unfurnished,"Keamanan 24 jam, Taman, Taman, Kolam Renang, One Gate System, Tempat Jemuran",Swimming Pool,Park,No Jogging Track
4500000000,Bogor,bagus,334,350,5500 mah,"5,500",4,2,semi furnished,"Taman, Keamanan 24 jam, Kitchen Set, AC, Wastafel, One Gate System, Tempat Jemuran",No Swimming Pool,Park,No Jogging Track
575000000,Bogor,bagus,81,65,1300 mah,"1,300",3,2,unfurnished,"Taman, Keamanan 24 jam, Playground, Wastafel, One Gate System, Tempat Jemuran",No Swimming Pool,Park,No Jogging Track
825000000,Bogor,bagus,90,65,1300 mah,"1,300",2,2,semi furnished,"Taman, Keamanan 24 jam, Kitchen Set, AC, Wastafel, One Gate System, Tempat Jemuran",No Swimming Pool,Park,No Jogging Track
3700000000,Bogor,bagus,127,200,3500 mah,"3,500",3,3,semi furnished,"Taman, Keamanan 24 jam, Kitchen Set, AC, Wastafel, One Gate System, Tempat Jemuran",No Swimming Pool,Park,No Jogging Track
900000000,Bogor,bagus,90,90,1300 mah,"1,300",2,1,unfurnished,"Taman, Keamanan 24 jam, Wastafel, One Gate System, Tempat Jemuran",No Swimming Pool,Park,No Jogging Track
2500000000,Bogor,bagus,180,300,5500 mah,"5,500",4,4,semi furnished,"Taman, Keamanan 24 jam, Kitchen Set, AC, Playground, Wastafel, One Gate System, Tempat Jemuran",No Swimming Pool,Park,No Jogging Track
945000000,Bogor,baru,90,70,1300 mah,"1,300",3,1,unfurnished,"Taman, Tempat Jemuran, Keamanan 24 jam, One Gate System",No Swimming Pool,Park,No Jogging Track
3700000000,Bogor,bagus,127,200,3500 mah,"3,500",3,3,semi furnished,"Taman, Keamanan 24 jam, Kitchen Set, AC, Wastafel, One Gate System, Tempat Jemuran",No Swimming Pool,Park,No Jogging Track
1500000000,Bogor,bagus,141,141,2200 mah,"2,200",5,3,semi furnished,"Taman, Keamanan 24 jam, Kitchen Set, AC, Wastafel, One Gate System, Tempat Jemuran",No Swimming Pool,Park,No Jogging Track
7000000000,Bogor,bagus,375,450,4400 mah,"4,400",4,3,unfurnished,"Keamanan 24 jam, Taman, Taman, Kolam Renang, One Gate System, Tempat Jemuran",Swimming Pool,Park,No Jogging Track
4500000000,Bogor,bagus,334,350,5500 mah,"5,500",4,2,semi furnished,"Taman, Keamanan 24 jam, Kitchen Set, AC, Wastafel, One Gate System, Tempat Jemuran",No Swimming Pool,Park,No Jogging Track
575000000,Bogor,bagus,81,65,1300 mah,"1,300",3,2,unfurnished,"Taman, Keamanan 24 jam, Playground, Wastafel, One Gate System, Tempat Jemuran",No Swimming Pool,Park,No Jogging Track
825000000,Bogor,bagus,90,65,1300 mah,"1,300",2,2,semi furnished,"Taman, Keamanan 24 jam, Kitchen Set, AC, Wastafel, One Gate System, Tempat Jemuran",No Swimming Pool,Park,No Jogging Track
945000000,Bogor,baru,90,70,1300 mah,"1,300",3,1,unfurnished,"Taman, Tempat Jemuran, Keamanan 24 jam, One Gate System",No Swimming Pool,Park,No Jogging Track
900000000,Bogor,bagus,90,90,1300 mah,"1,300",2,1,unfurnished,"Taman, Keamanan 24 jam, Wastafel, One Gate System, Tempat Jemuran",No Swimming Pool,Park,No Jogging Track
2500000000,Bogor,bagus,180,300,5500 mah,"5,500",4,4,semi furnished,"Taman, Keamanan 24 jam, Kitchen Set, AC, Playground, Wastafel, One Gate System, Tempat Jemuran",No Swimming Pool,Park,No Jogging Track
